Enclosure,Treatment,Date,Interval,Weather,Time,Temp ©,Secchi (cm),DO (mg/L),Cond. (uS/cm),pH,PC:CHL,PC RFU,CHL RFU,PC Blank,CHL Blank,CHL Corrected,PC Corrected,TN (ug/L),TP (ug/L),TN:TP,SRP (ug/L),NO3-N (mg/L),TAN (ug/L),Urea-N (ug/L),TDN (ug/L),Chlororphyll (ug/L),Phycocyanin (ug/L),PHYC:CHL,Toxins,MIB (ng/L),Geosmin(ng/L),Phyto cells/mL,Cyano cells/mL,pg phyco/cell,pg chloro/cell,notes
Community-18,NO3,9/24/2020,72hr.,Raining,10:53,21.8,34,15.81,113.1,10.51,1.1235,9338,8311.5,8,43,8268.5,9330,2170.54,372.59,5.83,65.64,0.00,31.40,39.16,70.56,58.70,165.51,2.819476006,1.932,n/a,n/a,76118.67,69046.17,2.397035697,0.77,
Community-19,Control,9/24/2020,72hr.,Raining,10:57,21.8,40,13.21,93.9,10.28,0.9152,4227,4618.5,11,45,4573.5,4216,1360.32,254.94,5.34,61.39,0.00,32.57,61.74,94.31,64.24,99.69,1.551806824,0.990,n/a,n/a,50939.48,42212.59,2.361654815,1.26,
Community-20,Urea,9/24/2020,72hr.,Raining,11:01,21.8,35,15.48,107.6,10.49,1.3461,11188,8311.5,5,40,8271.5,11183,2008.88,375.71,5.35,53.85,0.00,30.89,34.76,65.66,107.63,256.48,2.383059148,2.111,n/a,n/a,72136,62912.80,4.076726973,1.49,
Community-21,NH4,9/24/2020,72hr.,Raining,11:06,21.8,33,14.94,103.1,10.39,2.2118,20693,9355.7,8,45,9310.7,20685,2603.34,372.59,6.99,47.26,0.00,37.67,27.77,65.44,144.97,474.57,3.273553961,2.171,n/a,n/a,106932.25,91753.25,5.172217431,1.36,
Community-22,NO3,9/24/2020,72hr.,Raining,11:10,21.8,34,15.35,107.4,10.42,1.6471,8335.4,5060.5,11,47,5013.5,8324.4,2387.58,367.43,6.50,70.55,0.00,34.75,28.97,63.72,85.86,171.25,1.994489146,1.235,n/a,n/a,82050.39,76053.24,2.251760138,1.05,
Community-23,Urea,9/24/2020,72hr.,Raining,11:15,21.8,33,15.76,107.8,10.44,1.5572,13723,8812.9,88,44,8768.9,13635,2160.29,336.61,6.42,55.83,0.00,29.76,52.35,82.11,112.52,303.87,2.700548243,2.504,n/a,n/a,49141.26,42771.87,7.104429787,2.29,
Community-24,Control,9/24/2020,72hr.,Raining,11:19,21.8,43,13.07,90.9,10.23,0.8515,6171.7,7248.2,7,38,7210.2,6164.7,1530.94,290.80,5.26,43.82,0.00,25.76,37.76,63.52,56.49,100.82,1.784600685,1.054,n/a,n/a,51315.42,45566.43,2.212506579,1.1,
Community,Pond,9/24/2020,72hr.,Raining,11:22,21.9,38,9.6,79.8,9.79,1.0342,7911.6,7650.1,6,45,7605.1,7905.6,1644.90,285.16,5.77,14.31,0.00,32.42,34.16,66.59,70.92,178.42,2.51583174,1.122,n/a,n/a,n/a,n/a,n/a,n/a,
Community-1,NO3,9/28/2020,1week,Partly Cloudy,9:07,24.1,43,11.07,84.6,10.03,1.1207,5223.3,4660.8,9,33,4627.8,5214.3,2299.54,314.82,7.30,54.68,0.00,0.00,81.44,81.44,51.02,69.61,1.364239418,0.718,0.00,4.32,57014.00,55070,1.26,0.89,
Community-2,NH4,9/28/2020,1week,Partly Cloudy,9:13,24.1,38,14.75,104.8,10.42,1.9111,11895,6224.4,9,41,6183.4,11886,2106.85,242.41,8.69,30.21,0.00,0.00,39.76,39.76,69.26,184.88,2.669415719,1.691,0.00,3.49,77062.34,76028,2.43,0.90,
Community-3,Control,9/28/2020,1week,Partly Cloudy,9:18,24.1,41,9.94,75.6,9.89,1.1361,8920.2,7851.5,14,39,7812.5,8906.2,1809.20,269.25,6.72,47.25,0.00,0.00,22.76,22.76,84.16,138.35,1.644005658,0.662,0.00,3.92,49870.71,41847,3.31,1.69,
Community-4,Urea,9/28/2020,1week,Partly Cloudy,9:23,24.1,34,14.12,107,10.48,2.1432,21848,10194,13,144,10050,21835,2464.35,309.22,7.97,29.85,0.00,0.00,20.60,20.60,152.97,470.39,3.075056176,1.659,0.00,1.73,109734.63,106839,4.40,1.39,
Community-5,NH4,9/28/2020,1week,Partly Cloudy,9:29,24.2,38,14.76,105.5,10.44,1.9948,13776,6906,9,36,6870,13767,2268.53,284.76,7.97,36.13,0.00,0.00,0.00,0.00,108.76,253.77,2.333232638,1.839,0.00,3.66,111359.38,107017,2.37,0.98,
Community-6,NO3,9/28/2020,1week,Partly Cloudy,9:34,24.2,39,11.41,86,10.17,1.0967,6429,5861.9,4,33,5828.9,6425,2350.62,276.89,8.49,60.31,0.00,0.00,13.89,13.89,75.13,117.22,1.560275153,0.988,0.00,1.73,41520.79,38915,3.01,1.81,
Community-7,Control,9/28/2020,1week,Partly Cloudy,9:40,24.2,57,9.64,74.2,9.81,0.9528,4765.2,5001.1,10,34,4967.1,4755.2,1452.95,349.42,4.16,65.51,0.00,0.00,0.00,0.00,55.93,58.31,1.042549773,0.651,0.00,3.40,50645.23,43780,1.33,1.10,
Community-8,Urea,9/28/2020,1week,Partly Cloudy,9:47,24.2,30,12.47,91.6,10.32,1.6131,14250,8834.1,6,36,8798.1,14244,2390.09,332.84,7.18,41.62,0.00,0.00,30.18,30.18,126.29,190.76,1.510472481,1.583,0.00,3.67,122057.75,117880,1.62,1.03,
Community-9,NH4,9/28/2020,1week,Partly Cloudy,9:52,24.2,31,14.73,107.5,10.52,2.315,17253,7452.9,9,39,7413.9,17244,2437.41,321.03,7.59,32.30,0.00,0.00,0.00,0.00,107.10,374.65,3.497963807,1.576,0.00,3.62,122319.49,121286,3.09,0.88,
Community-10,Control,9/28/2020,1week,Partly Cloudy,9:57,24.2,45,9.73,74.4,9.84,1.0829,5820.1,5374.3,30,36,5338.3,5790.1,1603.97,309.57,5.18,67.96,0.00,0.00,2.87,2.87,61.56,73.33,1.191248802,0.584,0.00,1.73,32199.02,29511,2.48,1.91,
Community-11,NO3,9/28/2020,1week,Partly Cloudy,10:02,24.3,47,10.89,84.4,10.14,1.1692,7893.4,6751.2,11,35,6716.2,7882.4,2370.04,312.08,7.59,65.51,0.00,0.00,16.53,16.53,83.07,131.56,1.583807458,0.878,0.00,4.26,82366.66,78479,1.68,1.01,
Community-12,Urea,9/28/2020,1week,Partly Cloudy,10:07,24.3,41,13.15,95.8,10.4,1.7163,10362,6037.8,9,34,6003.8,10353,1855.57,265.91,6.98,52.73,0.00,0.00,0.00,0.00,85.84,152.38,1.775121314,1.458,0.00,4.23,91129.15,86910,1.75,0.94,
Community-13,NH4,9/28/2020,1week,Partly Cloudy,10:13,24.3,32,15.18,108.7,10.54,2.1688,15200,7008.8,12,40,6968.8,15188,2577.15,338.32,7.62,29.42,0.00,0.00,0.00,0.00,128.56,349.28,2.716886839,1.685,0.00,3.88,117113.93,113061,3.09,1.10,
Community-14,NO3,9/28/2020,1week,Partly Cloudy,10:18,24.3,36,11.15,83.9,10.14,1.4263,10742,7531.4,8,35,7496.4,10734,2069.88,347.75,5.95,61.90,0.00,0.00,0.00,0.00,72.05,174.15,2.417151595,1.170,0.00,4.44,102449.36,95666,1.82,0.70,
Community-15,Urea,9/28/2020,1week,Partly Cloudy,10:24,24.4,38,12.74,89.8,10.32,1.5416,10471,6792.5,9,39,6753.5,10462,1992.49,302.18,6.59,46.24,0.00,0.00,17.49,17.49,76.95,178.57,2.320589577,1.690,0.00,1.73,108075.10,103939,1.72,0.71,
Community-16,Control,9/28/2020,1week,Partly Cloudy,10:29,24.4,50,9.52,73.9,9.81,0.9117,4936.2,5414.5,4,34,5380.5,4932.2,1516.24,308.98,4.91,75.33,0.00,0.00,0.00,0.00,62.17,65.64,1.055701221,0.729,0.00,1.73,45757.79,40381,1.63,1.36,
Community-17,NH4,9/28/2020,1week,Partly Cloudy,10:35,24.4,37,15.23,105,10.48,1.9859,15415,7762.5,8,39,7723.5,15407,2398.24,316.49,7.58,33.10,0.00,0.00,6.23,6.23,122.44,371.82,3.036721876,1.896,0.00,1.76,123109.64,114962,3.23,0.99,
Community-18,NO3,9/28/2020,1week,Partly Cloudy,10:40,24.4,34,11.5,85.7,10.21,1.5844,13012,8213,7,35,8178,13005,2159.80,341.54,6.32,67.53,0.00,0.00,7.43,7.43,88.66,228.37,2.575691349,1.367,0.00,4.01,101324.21,94045,2.43,0.88,
Community-19,Control,9/28/2020,1week,Partly Cloudy,10:45,24.5,55,9.42,73.3,9.81,1.726,5920.6,3430.2,8,37,3393.2,5912.6,1493.99,284.88,5.24,74.68,0.00,0.00,24.91,24.91,51.18,50.25,0.981838103,0.514,0.00,3.89,42678.45,34861,1.44,1.20,
Community-20,Urea,9/28/2020,1week,Partly Cloudy,10:50,24.5,37,12.5,89.2,10.3,1.7765,13526,7614,7,39,7575,13519,2035.41,307.90,6.61,52.44,0.00,0.00,18.44,18.44,90.01,238.56,2.650467754,1.803,0.00,4.46,87508.84,81884,2.91,1.03,
Community-21,NH4,9/28/2020,1week,Partly Cloudy,10:55,24.6,28,15,106.8,10.49,1.8296,18185,9939.8,12,41,9898.8,18173,2648.90,352.64,7.51,28.05,0.00,0.00,3.11,3.11,146.41,438.61,2.995691158,1.856,0.00,3.76,118677.16,111232,3.94,1.23,
Community-22,NO3,9/28/2020,1week,Partly Cloudy,11:00,24.5,49,11.49,84.7,10.19,1.3177,9914.7,7523.9,10,36,7487.9,9904.7,2404.19,315.30,7.63,67.89,0.00,0.00,45.03,45.03,77.08,131.55,1.706754243,1.217,0.00,3.71,92980.46,87397,1.51,0.83,
Community-23,Urea,9/28/2020,1week,Partly Cloudy,11:05,24.6,37,13.2,93.6,10.4,1.3498,10434,7730.6,7,34,7696.6,10427,2095.26,312.08,6.71,50.71,0.00,0.00,0.00,0.00,99.58,184.41,1.851908466,1.184,0.00,4.38,115923.97,108314,1.70,0.86,
Community-24,Control,9/28/2020,1week,Partly Cloudy,11:11,24.6,55,9.53,73.4,9.81,0.9756,6059.2,6210.5,9,34,6176.5,6050.2,1531.28,335.46,4.56,81.97,0.00,0.00,20.84,20.84,68.50,80.36,1.173145268,0.459,0.00,3.58,39902.21,33078,2.43,1.72,
Community,Pond,9/28/2020,1week,Partly Cloudy,11:13,24.4,38,9.24,72,9.67,0.972,8749.2,9001.6,11,45,8956.6,8738.2,1551.02,244.80,6.34,26.24,0.00,0.00,1.44,1.44,73.98,153.90,2.080285781,0.398,0.00,4.84,n/a,76533,2.01,n/a,
Community-1,NO3,10/5/2020,2week,Sunny,9:12,20.4,56,10.21,81,9.57,0.5203,4912,9440.4,9,32,9408.4,4903,2346.26,183.65,12.78,38.66,0.00,0.00,29.70,29.70,48.26,36.80,0.762407271,0.139,0.00,3.75,48311.19,46698,0.79,1.00,
Community-2,NH4,10/5/2020,2week,Sunny,9:17,20.5,33,10.53,88.1,10.01,2.3083,11296,4894,17,32,4862,11279,2346.57,226.29,10.37,22.27,0.00,0.00,32.23,32.23,94.87,91.14,0.960769172,0.501,0.00,2.89,84567.57,84154,1.08,1.12,
Community-3,Control,10/5/2020,2week,Sunny,9:23,20.5,55,10.42,79.4,9.7,0.4377,5623.3,12848,13,33,12815,5610.3,1718.43,271.45,6.33,33.03,0.00,0.00,37.07,37.07,70.82,33.30,0.470240995,0.120,3.73,2.79,61928.19,60481,0.55,1.14,
Community-4,Urea,10/5/2020,2week,Sunny,9:29,20.5,29,10.49,85.3,10.05,2.6698,12956,4852.7,27,31,4821.7,12929,2220.38,215.50,10.30,88.90,0.00,0.00,42.97,42.97,88.59,118.26,1.335008349,0.545,0.00,2.68,102563.97,100206,1.18,0.86,
Community-5,NH4,10/5/2020,2week,Sunny,9:34,20.5,37,10.11,84.6,9.97,2.3919,11186,4676.7,8,29,4647.7,11178,2251.38,217.22,10.36,21.55,0.00,0.00,49.28,49.28,85.16,80.06,0.94016289,0.505,0.00,2.89,104286.47,102963,0.78,0.82,
Community-6,NO3,10/5/2020,2week,Sunny,9:39,20.5,50,10,80.3,9.69,0.6532,5498.8,8418.6,4,29,8389.6,5494.8,2055.99,228.71,8.99,55.33,0.00,0.00,65.70,65.70,60.46,37.64,0.622441758,0.202,0.00,2.55,69832.01,68426,0.55,0.87,
Community-7,Control,10/5/2020,2week,Sunny,9:45,20.5,55,10.32,78.1,9.66,1.3216,12783,9672.5,7,31,9641.5,12776,1468.87,265.70,5.53,49.92,0.00,0.00,14.12,14.12,57.38,22.48,0.391788556,0.082,0.00,1.73,38982.42,33564,0.67,1.47,
Community-8,Urea,10/5/2020,2week,Sunny,9:51,20.5,30,9.83,78.9,9.73,1.0758,10509,9769,7,31,9738,10502,2475.27,267.92,9.24,38.22,0.00,0.00,39.18,39.18,113.66,113.78,1.001109794,0.862,0.00,2.85,102401.41,95991,1.19,1.11,
Community-9,NH4,10/5/2020,2week,Sunny,9:56,20.5,40,10.4,88.9,10.1,3.2955,12984,3940,5,28,3912,12979,2169.34,249.77,8.69,20.90,0.00,0.00,20.86,20.86,95.55,130.02,1.360783658,0.509,0.00,1.73,93379.45,90153,1.44,1.02,
Community-10,Control,10/5/2020,2week,Sunny,10:02,20.5,53,10.43,77.7,9.62,0.2816,4361.6,15486,0,28,15458,4361.6,1559.99,266.21,5.86,54.54,0.00,0.00,24.23,24.23,66.60,34.60,0.519487632,0.135,0.00,1.73,38688.17,35834,0.97,1.72,
Community-11,NO3,10/5/2020,2week,Sunny,10:07,20.6,41,9.89,80,9.63,0.6618,5747.8,8684.7,3,27,8657.7,5744.8,2296.78,238.18,9.64,63.99,0.00,0.00,26.12,26.12,66.38,73.54,1.10791147,0.180,14.14,1.73,48550.91,45077,1.63,1.37,
Community-12,Urea,10/5/2020,2week,Sunny,10:13,20.6,44,10.31,82.3,9.89,0.8333,5760,6912.3,5,32,6880.3,5755,1829.59,213.39,8.57,34.25,0.00,0.00,37.49,37.49,72.82,69.95,0.96049558,0.316,0.00,1.73,104144.08,101828,0.69,0.70,
Community-13,NH4,10/5/2020,2week,Sunny,10:19,20.6,29,10.41,88.8,10.07,2.6537,10860,4092.7,3,28,4064.7,10857,2236.35,235.36,9.50,22.56,0.00,0.00,26.55,26.55,80.25,100.16,1.24815169,0.508,0.00,1.73,132893.78,132149,0.76,0.60,
Community-14,NO3,10/5/2020,2week,Sunny,10:24,20.6,43,9.78,80.1,9.64,0.6466,5832.2,9019.6,4,28,8991.6,5828.2,2353.46,247.96,9.49,53.09,0.00,0.00,25.91,25.91,52.38,45.62,0.870965936,0.243,0.00,2.76,43028.05,40050,1.14,1.22,
Community-15,Urea,10/5/2020,2week,Sunny,10:29,20.7,42,10.02,79.7,9.74,1.0381,6674.1,6429,7,30,6399,6667.1,1935.43,271.45,7.13,41.11,0.00,0.00,30.34,30.34,61.10,67.99,1.112693983,0.282,0.00,2.81,70447.26,66642,1.02,0.87,
Community-16,Control,10/5/2020,2week,Sunny,10:35,20.7,64,10.33,78.3,9.62,0.2799,3766.9,13457,6,28,13429,3760.9,1476.38,285.26,5.18,60.17,0.00,0.00,44.86,44.86,42.41,21.30,0.502276947,0.298,2.44,2.81,43127.23,39239,0.54,0.98,
Community-17,NH4,10/5/2020,2week,Sunny,10:41,20.7,29,10.71,88.8,10,2.6879,13149,4891.9,6,30,4861.9,13143,2489.36,267.72,9.30,17.94,0.00,0.00,22.97,22.97,88.56,101.00,1.140547828,0.124,0.00,2.74,112215.18,111719,0.90,0.79,
Community-18,NO3,10/5/2020,2week,Sunny,10:46,20.7,40,9.91,81.5,9.72,0.9112,6997.5,7679.8,6,29,7650.8,6991.5,2177.17,306.93,7.09,63.20,0.00,0.00,30.34,30.34,75.86,59.82,0.788516295,0.838,0.00,2.65,56643.62,55941,1.07,1.34,
Community-19,Control,10/5/2020,2week,Sunny,10:51,20.7,54,9.91,77,9.46,0.3149,4206.9,13361,7,28,13333,4199.9,1651.11,281.63,5.86,62.19,0.00,0.00,26.55,26.55,54.75,17.01,0.310646175,0.133,0.00,2.35,55236.98,51887,0.33,0.99,
Community-20,Urea,10/5/2020,2week,Sunny,10:57,20.8,39,9.78,79.8,9.77,1.0034,8699,8669.8,5,29,8640.8,8694,2042.83,280.01,7.30,35.84,0.00,0.00,25.28,25.28,80.77,70.71,0.875522087,0.593,0.00,2.59,65690.48,62589,1.13,1.23,
Community-21,NH4,10/5/2020,2week,Sunny,11:02,20.9,29,10.61,89.7,10.1,2.572,15537,6041,11,31,6010,15526,2703.54,325.88,8.30,19.02,0.00,0.00,27.81,27.81,129.94,161.36,1.241849456,0.845,0.00,1.73,93324.92,90802,1.78,1.39,
Community-22,NO3,10/5/2020,2week,Sunny,11:07,20.8,56,10.08,80.9,9.67,0.5759,5257.6,9128.7,4,29,9099.7,5253.6,2303.98,273.66,8.42,57.06,0.00,0.00,32.02,32.02,55.40,48.89,0.882458884,0.177,0.00,3.64,75867.64,72642,0.67,0.73,
Community-23,Urea,10/5/2020,2week,Sunny,11:13,20.9,34,10.14,81.3,9.81,0.8459,6015,7110.6,6,29,7081.6,6009,1843.06,255.32,7.22,34.83,0.00,0.00,8.23,8.23,61.32,115.20,1.878651537,0.375,0.00,3.01,63895.56,63399,1.82,0.96,
Community-24,Control,10/5/2020,2week,Sunny,11:18,20.9,51,10.11,77.4,9.48,0.3588,4329.5,12066,6,28,12038,4323.5,1657.69,289.19,5.73,62.62,0.00,0.00,9.07,9.07,56.26,47.75,0.848672325,0.146,0.00,2.43,55311.67,54319,0.88,1.02,
Community,Pond,10/5/2020,2week,Sunny,11:22,21,35,9.39,77.1,9.5,0.9692,5299.5,5468.5,4,38,5430.5,5295.5,1369.92,209.96,6.52,24.73,0.00,0.00,25.49,25.49,39.74,53.30,1.34126065,0.032,0.00,6.72,n/a,45887,1.16,n/a,
